#header line GPU processors,avg,error_bar,run1,run2,run3
1,2.576081483,0.001831155,2.57364371,2.57730602,2.57729472
4,2.576959947,0.000728345,2.57781811,2.57636142,2.57670031
8,2.583992197,0.00786819,2.57800398,2.59374036,2.58023225
12,2.623121907,0.0454622,2.59218314,2.68310754,2.59407504
16,2.62472843,0.01479938,2.64135959,2.62106487,2.61176083
20,2.670373317,0.010803955,2.65615048,2.67775839,2.67721108
24,2.722351877,0.077704345,2.81678815,2.66137946,2.68888802
28,2.895103057,0.00861287,2.88435611,2.90158185,2.89937121
32,3.001593717,0.10318557,3.12407029,2.96301171,2.91769915
36,2.980818657,0.024633995,2.94893623,2.99820422,2.99531552
40,3.1000278,0.06281219,3.08804202,3.16883288,3.0432085
44,3.155827687,0.06908493,3.20510325,3.06693339,3.19544642
48,3.160298143,0.021652115,3.13863486,3.18193909,3.16032048
