#header line GPU processors,avg,error_bar,run1,run2,run3
1,25.71268135,0.01622763,25.73427106,25.7018158,25.70195719
4,6.4726362,0.00653025,6.48022308,6.46716258,6.47052294
8,3.269988503,0.059666295,3.23755414,3.34587198,3.22653939
12,2.2205901,0.05588385,2.24196328,2.26578736,2.15401966
16,1.636469943,0.00686841,1.64440042,1.63434581,1.6306636
20,1.332750703,0.01313974,1.32719845,1.32238709,1.34866657
24,1.11496586,0.004648035,1.12011664,1.11396037,1.11082057
28,1.02629766,0.00963907,1.03471449,1.02874214,1.01543635
32,0.96406648,0.033618775,0.96980613,0.99481543,0.92757788
36,0.833132523,0.0153135,0.83051403,0.84975527,0.81912827
40,0.802622707,0.040874715,0.76476772,0.79658325,0.84651715
44,0.8354016,0.167427875,0.75239143,1.04433456,0.70947881
48,0.808329647,0.1211332,0.81183342,0.68544456,0.92771096
