#header line GPU processors,avg,error_bar,run1,run2,run3
1,2573.026244,3.108598905,2.571,2.577,2.571
12,220.5393273,5.430262155,217,217,228
24,112.8994606,2.063158945,116,111,112
48,65.26254766,0.62431686,65,65,66
