#header line GPU processors,avg,error_bar,run1,run2,run3
1,25.79247397,0.03998375,25.81700406,25.82019267,25.74022517
4,25.77491394,0.048507665,25.82495709,25.77184297,25.72794176
8,25.98551651,0.09901465,25.90531571,26.10334501,25.94788881
12,25.99984994,0.05231752,26.03197008,26.03610739,25.93147235
16,26.20327559,0.103558905,26.1982806,26.30933199,26.10221418
20,27.70763216,0.234686305,27.41116613,27.88053874,27.83119161
24,26.75805622,0.20022579,26.64347818,27.01557103,26.61511945
28,28.85136596,0.073642975,28.90321726,28.89494932,28.75593131
32,29.45999024,0.268790245,29.68876069,29.1511802,29.54002984
36,30.53802193,0.829300455,30.08715125,31.59275772,29.93415681
40,30.59042669,0.206813285,30.64089993,30.77200336,30.35837679
44,30.83386614,0.88396474,30.21810801,30.29745293,31.98603749
48,30.9502716,0.30536661,30.67011758,30.89984641,31.2808508
